file, text_segment_size, instructions
file267, 1339, 664958452
file268, 1876, 700978535
file269, 105, 604881154
file270, 7069, 1068865110
file271, 3730, 645951912
file272, 13832, 2313628747
file273, 1690, 678671339
file274, 16023, 1568081351
file275, 495, 676828602
file276, 908, 611388781
file277, 3644, 851712254
file278, 1844, 724060514
file279, 6842, 1462319741
file280, 1137, 667845951
file281, 1425, 806269655
file282, 1394, 840263049
file283, 2080, 880447158
file284, 407, 643680127
file285, 2189, 930017107
file286, 39207, 3624817806
file287, 30669, 2932418529
file288, 6393, 906103776
file289, 726, 689266302
file290, 4580, 939114839
file291, 337, 638942004
file292, 2779, 850776687
file293, 17178, 2778709739
file294, 4911, 841771905
file295, 3359, 823095518
file296, 9816, 1415660176
file297, 697, 645596361
file298, 546, 626324251
file299, 7976, 1618639262
file300, 391, 666828778
file301, 12012, 1384027440
file302, 1464, 772817013
file303, 2424, 635289022
file304, 1746, 810568983
file305, 5191, 675237771
file306, 567, 638408917
file307, 6046, 1537455716
file308, 4652, 1080395106
file309, 14181, 1675910230
file310, 1958, 699967575
file311, 4516, 843194874
file312, 2069, 681892321
file313, 10614, 1298954533
file314, 4091, 1052696196
file315, 12449, 1998661413
file316, 1056, 736487214
file317, 350, 677328752
file318, 1010, 680266458
file319, 1350, 581036714
file320, 7823, 1388736596
file321, 11057, 762384369
file322, 757, 709353441
file323, 265, 665089693
file324, 1189, 730929911
file325, 10843, 1131126083
file326, 378, 596584469
file327, 1040, 676351049
file328, 48950, 622445420
file329, 5497, 1251935868
file330, 6784, 1005431948
file331, 664, 706388881
file332, 269, 618792952
file333, 510, 610971602
file334, 25589, 946889107
file335, 74, 619903023
file336, 956, 644697266
file337, 1306, 615207265
file338, 544, 661005171
file339, 1651, 836785619
file340, 4430, 648722728
file341, 582, 696888923
file342, 14045, 2031543288
file343, 4779, 667245537
file344, 240, 594316958
file345, 1209, 610932224
file346, 463, 662612710
file347, 12250, 1209178010
file348, 2211, 899130204
file349, 361, 660371120
