file, text_segment_size, instructions
file262, 259, 939389880
file263, 35457, 3915974970
file264, 1622, 942940439
file265, 4468, 1314748260
file266, 12862, 1052600321
file267, 1339, 940571898
file268, 1876, 984552193
file269, 105, 883758244
file270, 7069, 1359648106
file271, 3730, 915773126
file272, 13816, 2643318947
file273, 1690, 956145473
file274, 16063, 1868054298
file275, 495, 954613875
file276, 908, 885835165
file277, 3644, 1132323236
file278, 1844, 1005436740
file279, 6842, 1774910553
file280, 1137, 943253996
file281, 1425, 1093173481
file282, 1394, 1122678340
file283, 2080, 1175602435
file284, 407, 924360475
file285, 2189, 1223818025
file286, 39227, 3980604570
file287, 30593, 3285144085
file288, 6393, 1186658431
file289, 726, 972852010
file290, 4580, 1222229820
file291, 337, 913225630
file292, 2765, 1139422189
file293, 17242, 3104697115
file294, 4911, 1124521349
file295, 3359, 1103890448
file296, 10090, 1698801755
file297, 697, 930205475
file298, 546, 910532924
file299, 7928, 1931717993
file300, 391, 951598313
file301, 12012, 1689580701
file302, 1464, 1047353699
file303, 2424, 904436896
file304, 1754, 1090478074
file305, 5191, 752828076
file306, 567, 713348435
file307, 6062, 1633941743
file308, 4652, 1163427122
file309, 14181, 1790133606
file310, 1958, 777587239
file311, 4516, 922896376
file312, 2069, 758014642
file313, 10614, 1389711165
file314, 4091, 1144950567
file315, 12449, 2107698746
file316, 1056, 817023713
file317, 350, 755615580
file318, 1010, 757132749
file319, 1350, 648981088
file320, 7791, 1489045122
file321, 11057, 1071561534
file322, 757, 1019771118
file323, 265, 972440038
file324, 1189, 1043690806
file325, 10835, 1448282285
file326, 378, 898198958
file327, 1040, 983813055
file328, 48950, 930860922
file329, 5497, 1572221642
file330, 6784, 1320585292
file331, 664, 1013228227
file332, 269, 924473380
file333, 510, 916220089
file334, 25589, 1264408207
file335, 74, 923413708
file336, 956, 955260212
file337, 1306, 926250064
file338, 544, 971942143
file339, 1651, 1145700239
file340, 4430, 954770974
file341, 582, 1008694536
file342, 13965, 2375397174
file343, 4779, 975946329
file344, 240, 899297038
file345, 1209, 910663286
file346, 463, 978080898
file347, 12250, 1520863182
file348, 2211, 1214448000
file349, 361, 967707538
file350, 1112, 1011745144
file351, 3448, 934824423
file352, 331, 920102792
file353, 2370, 1215167933
file354, 53, 898774189
file355, 2105, 921526469
file356, 3111, 1127184104
file357, 11281, 1754199737
file358, 23438, 3229893683
file359, 948, 987966717
file360, 164, 890340061
file361, 2411, 1208581581
file362, 15011, 1854426286
file363, 9551, 1932030256
file364, 363, 898034759
file365, 2162, 1091046564
file366, 1203, 1001982488
file367, 1427, 971126840
file368, 1450, 1040943997
file369, 896855, 727282910354
file370, 371, 981911622
file371, 634, 946370126
file372, 1806, 1099015175
file373, 5980, 1474188063
file374, 680, 930249343
file375, 21600, 2783033995
file376, 472, 998014331
file377, 505, 998864889
file378, 1754, 929302270
file379, 4665, 1403958733
file380, 21714, 3454135584
file381, 33931, 3748546009
file382, 4002, 1188399605
file383, 12761, 2347653523
file384, 1961, 965354725
file385, 1341, 867450982
file386, 7381, 1230329866
file387, 560, 789568952
