file, text_segment_size, instructions
file31887, 54111, 7088827295
file31888, 26841, 1740938133
file31889, 73, 692636077
file31890, 8987, 1388120532
file31891, 22527, 2862870863
file31892, 63044, 1257450466
file31893, 4563, 1321951162
file31894, 55134, 11291435960
file31895, 408, 744919899
file31896, 10016, 6108462984
file31897, 21525, 7627593822
file31898, 59771, 11775315505
file31899, 3652, 989825361
file31900, 23623, 3880863646
file31901, 706, 810868528
file31902, 5797, 1288145420
file31903, 2499, 1027223261
file31904, 70180, 8765458889
file31905, 8568, 1231743430
file31906, 13341, 2118804317
file31907, 24857, 2631160525
file31908, 24015, 7577957166
file31909, 18429, 2437715526
file31910, 403, 711421204
file31911, 7418942, 652149336198
file31912, 2996, 1111150295
file31913, 8750, 1746974621
file31914, 1273, 855000162
file31915, 24877, 2244090017
file31916, 49793, 7435681847
file31917, 12421, 2076704963
file31918, 8924, 1863850266
file31919, 251, 770872135
file31920, 27985, 8153101673
file31921, 127802, 15348952001
file31922, 9836, 1544491965
file31923, 1977, 810043319
file31924, 2818, 875633756
file31925, 7732, 2857899699
file31926, 23375, 4226277638
file31927, 11946, 1753352791
file31928, 1599, 908625074
file31929, 2229, 1048678684
file31930, 4806, 1157632059
file31931, 20, 630142051
file31932, 5006, 1219699667
file31933, 25017, 3086744001
file31934, 23019, 3064070892
file31935, 504, 806153665
file31936, 5547, 1294516689
file31937, 8323, 1450536050
file31938, 4826, 1191660141
file31939, 252462, 25775753557
file31940, 234, 719224289
file31941, 4979, 1479305673
file31942, 62194, 7834573725
file31943, 879, 928889021
file31944, 4154, 2608107902
file31945, 62, 718221201
file31946, 17087, 2940001682
file31947, 26300, 5288374526
file31948, 10554, 1662694848
file31949, 2394, 916535656
file31950, 28535, 4762619221
file31951, 73719, 13923765341
file31952, 36478, 4837595416
file31953, 5917, 1126874460
file31954, 2829, 998826457
file31955, 19440, 6916615525
file31956, 12869, 2172115818
file31957, 5924, 1789536850
file31958, 998, 832415848
file31959, 9346, 2274686836
file31960, 18453, 7621899395
file31961, 2207, 1118098028
file31962, 807, 705837118
file31963, 324705, 37641273098
file31964, 190437, 19318292644
file31965, 14547, 2113757832
file31966, 56146, 8950895255
file31967, 7950, 1448598366
file31968, 2936, 1148530576
file31969, 10703, 695859948
file31970, 18370, 2956823481
file31971, 3817, 1127347552
file31972, 2825, 1149673760
file31973, 15102, 2570644086
file31974, 7442, 913703969
file31975, 109, 701211187
file31976, 6913, 1248849400
file31977, 2477, 925267611
file31978, 131099, 18392214798
file31979, 18508, 1483725439
file31980, 115909, 13299819146
file31981, 44328, 4759748660
file31982, 200813, 19970486360
file31983, 6099, 1214688277
file31984, 64296, 6485671270
file31985, 32563, 3786655565
file31986, 12906, 2369158888
file31987, 85028, 11370919177
file31988, 8537, 1751057124
file31989, 2986, 1045770951
file31990, 584, 776219768
file31991, 3093, 1268277423
file31992, 1599, 873935863
file31993, 7816, 1446508013
file31994, 16138, 2887508295
file31995, 9259, 1636673475
file31996, 60754, 5298687184
file31997, 88, 677054573
file31998, 44308, 4590365641
file31999, 3655, 1192052959
file32000, 48017, 7029114322
file32001, 2951, 1015638248
file32002, 8543, 1383782067
file32003, 1960, 950420586
file32004, 1788, 997708288
file32005, 3454, 923642223
file32006, 28189, 4270931185
file32007, 32202, 4162418658
file32008, 2423, 958716102
file32009, 76253, 9173244956
file32010, 25763, 2679730195
file32011, 2256, 873211631
file32012, 7679, 1478962070
file32013, 2543, 1082415531
file32014, 31913, 4128556820
file32015, 923, 805265346
file32016, 6061, 1314181256
file32017, 220, 685204940
file32018, 252502, 29610854931
file32019, 127751, 7433647792
file32020, 18597, 3273663850
file32021, 24213, 3333903064
file32022, 54809, 6553877672
file32023, 7466, 1091649343
file32024, 10434, 2440894623
file32025, 5456, 1609884073
file32026, 8981, 2407468716
file32027, 8222, 1653777688
file32028, 5018, 1220535465
file32029, 17066, 2240773218
file32030, 26722, 2227782716
file32031, 3178, 986732145
file32032, 2979, 1049120974
file32033, 13329, 2208180927
file32034, 1842, 943727248
file32035, 65, 711471282
file32036, 3918, 1016468526
file32037, 2347, 1196738478
file32038, 2113, 885279086
file32039, 6298, 1588801607
file32040, 27943, 3199825064
file32041, 672, 788722092
file32042, 9111, 1576352113
file32043, 537, 778618229
file32044, 177, 686977851
file32045, 16314, 2298289403
file32046, 4201, 1305574519
file32047, 23371, 2775152074
file32048, 771, 800233136
file32049, 229367, 29735436930
file32050, 14295, 1870013326
file32051, 7193, 1024082347
file32052, 168, 744446265
file32053, 1267, 827391070
file32054, 12911, 1750332099
file32055, 27689, 4357706143
file32056, 11853, 1688484983
file32057, 5512, 1097746384
file32058, 46687, 7020201768
file32059, 4895, 1104198789
file32060, 2723, 967235391
file32061, 252, 722385480
file32062, 616203, 58411442210
file32063, 43747, 4900788598
file32064, 8031, 1816786288
file32065, 3628, 956684957
file32066, 2597, 1539334288
file32067, 29270, 3864590931
file32068, 12713, 1962161694
file32069, 33041, 3121587511
file32070, 23330, 5996224232
file32071, 4247, 1242348052
file32072, 72151, 8564338068
file32073, 3097, 1127037304
file32074, 8339, 1713280169
file32075, 14545, 1984829797
file32076, 19, 684096535
file32077, 7579, 1258867222
file32078, 21179, 3022134063
file32079, 28332, 2741251740
file32080, 78798, 9247919287
file32081, 53742, 3411895825
file32082, 40844, 4369917344
file32083, 1309, 857958253
file32084, 305039, 28199893591
file32085, 84, 690850546
file32086, 1062719, 79024883665
file32087, 10595, 2015611959
file32088, 233, 741175235
file32089, 7537, 1385683354
file32090, 871, 764339707
file32091, 304266, 49860830410
file32092, 12521, 1712485919
file32093, 2825, 1003260718
file32094, 13844, 3618639042
file32095, 2204, 973749370
file32096, 46531, 3640985892
file32097, 15238, 2804620887
file32098, 372, 746534231
file32099, 10108, 1917613849
file32100, 7310, 2114844218
file32101, 17924, 2303246710
file32102, 7722, 1335569340
file32103, 1921, 1051701516
file32104, 3465, 1274610750
file32105, 1280, 806147184
file32106, 26981, 3025653876
file32107, 33774, 7411918328
file32108, 1503, 843117839
file32109, 2132, 864764100
file32110, 1496, 940720298
file32111, 3888, 1265074553
file32112, 303870, 33718351437
file32113, 5149, 1295142207
file32114, 809, 829047021
file32115, 841481, 102768863171
file32116, 4079, 1126017810
file32117, 9855, 1318943497
file32118, 4951, 1129630712
file32119, 1518, 971211161
file32120, 391, 772240800
file32121, 48672, 7647905927
file32122, 1200, 887010085
file32123, 21192, 13058511363
file32124, 2662, 911863575
file32125, 4976, 1419854628
file32126, 27227, 3035019764
file32127, 24399, 4206334935
file32128, 154, 702032782
file32129, 5911, 1163250399
file32130, 5119, 1146029855
file32131, 8306, 1339187132
file32132, 10843, 1647765688
file32133, 2875662, 293652353268
file32134, 6855, 2075753129
file32135, 2650, 929941498
file32136, 6918, 874451864
file32137, 186682, 16951881201
file32138, 13761, 6620590904
