file, text_segment_size, instructions
file31887, 54111, 6856912345
file31888, 26841, 1631446170
file31889, 73, 618997120
file31890, 8987, 1301715006
file31891, 22495, 2728754119
file31892, 63044, 1170732114
file31893, 4563, 1229115990
file31894, 55022, 10947015870
file31895, 408, 667358046
file31896, 10016, 5833248886
file31897, 21525, 7325021879
file31898, 59771, 11430777887
file31899, 3652, 904636593
file31900, 23655, 3676779489
file31901, 706, 733183833
file31902, 5797, 1196807322
file31903, 2499, 941779883
file31904, 70180, 8486693517
file31905, 8568, 1143419816
file31906, 13341, 2008784247
file31907, 24841, 2507039336
file31908, 24015, 7290466571
file31909, 18429, 2319862706
file31910, 403, 635449992
file31911, 7416844, 633798913490
file31912, 2988, 1024099998
file31913, 8750, 1644366859
file31914, 1273, 774202237
file31915, 24893, 2116572318
file31916, 49905, 7188755895
file31917, 12421, 1969767169
file31918, 8924, 1771769490
file31919, 251, 693449254
file31920, 27953, 7848726471
file31921, 127792, 14963281147
file31922, 9836, 1447844624
file31923, 1977, 732545922
file31924, 2818, 796091660
file31925, 7732, 2720313178
file31926, 23375, 4056789942
file31927, 11946, 1648645899
file31928, 1599, 828011666
file31929, 2229, 961665231
file31930, 4806, 1069325238
file31931, 20, 562937275
file31932, 5006, 1129181490
file31933, 25017, 2954456277
file31934, 23043, 2933973502
file31935, 504, 718464714
file31936, 5547, 1186531506
file31937, 8307, 1341628618
file31938, 4826, 1097209422
file31939, 253594, 25070161126
file31940, 234, 640357613
file31941, 4979, 1379816880
file31942, 62225, 7556917897
file31943, 879, 833070068
file31944, 4154, 2483724522
file31945, 62, 616083575
file31946, 17087, 2804197828
file31947, 26604, 5147523143
file31948, 10554, 1555542745
file31949, 2394, 832072949
file31950, 28535, 4576987776
file31951, 73655, 13502991437
file31952, 36348, 4671600532
file31953, 5917, 1037306498
file31954, 2829, 912096390
file31955, 19440, 6682095142
file31956, 12869, 2064894655
file31957, 5924, 1681149335
file31958, 998, 749831030
file31959, 9346, 2174959129
file31960, 18453, 7325610419
file31961, 2207, 943421968
file31962, 807, 620018538
file31963, 323953, 36553671658
file31964, 190047, 18820693809
file31965, 14547, 2007460680
file31966, 56205, 8635818574
file31967, 7950, 1346950989
file31968, 2936, 1058770956
file31969, 10703, 621293974
file31970, 18370, 2810304956
file31971, 3817, 1041439565
file31972, 2825, 1056427521
file31973, 15134, 2447578728
file31974, 7442, 829933706
file31975, 109, 624646026
file31976, 6897, 1159661618
file31977, 2477, 836918324
file31978, 131099, 17541352872
file31979, 18508, 1387041217
file31980, 115844, 12893244635
file31981, 44328, 4575095830
file31982, 200577, 19487451511
file31983, 6099, 1122324379
file31984, 64296, 6221881299
file31985, 32547, 3621606104
file31986, 12906, 2249489601
file31987, 85028, 11191880991
file31988, 8537, 1655846115
file31989, 2986, 952596086
file31990, 584, 679575773
file31991, 3036, 1168295094
file31992, 1599, 790037737
file31993, 7816, 1342605262
file31994, 16138, 2749190664
file31995, 9259, 1532393036
file31996, 60754, 5083619221
file31997, 88, 603015273
file31998, 44292, 4407295788
file31999, 3655, 1100464960
file32000, 48017, 6650121236
file32001, 2951, 943132506
file32002, 8543, 1286486118
file32003, 1976, 866336373
file32004, 1788, 910829672
file32005, 3454, 840365432
file32006, 28173, 4106695650
file32007, 32186, 4002320756
file32008, 2423, 875761867
file32009, 76253, 8955747629
file32010, 25779, 2565967133
file32011, 2256, 794572665
file32012, 7679, 1381790755
file32013, 2543, 993195042
file32014, 31913, 3968617153
file32015, 923, 725799932
file32016, 6061, 1221665872
file32017, 220, 610607274
file32018, 252750, 28869789175
file32019, 127642, 7203331129
file32020, 18597, 3123918289
file32021, 24197, 3192197793
file32022, 54809, 6337273575
file32023, 7466, 1004294972
file32024, 10368, 2323676803
file32025, 5456, 1516174805
