file, text_segment_size, instructions
file353933, 779, 763204611
file353934, 6025, 1099712757
file353935, 17307, 1856241477
file353936, 18049, 1882214531
file353937, 14809, 1723603871
file353938, 19143, 1850772686
file353939, 22384, 2061637276
file353940, 12418, 1548724661
file353941, 8777, 1210623891
file353942, 20208, 2005587578
file353943, 3719, 963401398
file353944, 4117, 979820981
file353945, 5092, 1014433695
file353946, 1053, 783377466
file353947, 3114, 907245113
file353948, 2259, 883227985
file353949, 5278, 1080863885
file353950, 2965, 907789578
file353951, 869, 908153693
file353952, 8584, 1447606452
file353953, 8613, 1413862064
file353954, 3156, 1059460281
file353955, 9652, 1488146994
file353956, 20138, 2182297771
file353957, 6788, 1399076346
file353958, 200497, 13793437298
file353959, 48001, 3803053022
file353960, 2503, 1034553293
file353961, 632, 890317438
file353962, 13459, 1766858138
file353963, 19925, 2255216799
file353964, 99817, 7138024779
file353965, 772, 921331290
file353966, 16322, 1881468257
file353967, 131730, 9670131037
file353968, 996, 918528455
file353969, 5879, 1262466442
file353970, 3478, 1119007913
file353971, 3280, 1101421644
file353972, 15056, 1875548651
file353973, 27879, 2673912820
file353974, 3862, 1073677320
file353975, 15744, 1969701436
file353976, 9359, 1528390548
file353977, 52706, 3613876162
file353978, 717, 914205529
file353979, 17930, 1957648214
file353980, 3439, 1086865746
file353981, 2472, 1029768526
file353982, 18657, 2104656336
file353983, 2843, 1067356203
file353984, 1367, 951169919
file353985, 1276, 1017774415
file353986, 9790, 1486708415
file353987, 15637, 1800945541
file353988, 3640, 1098830348
file353989, 4313, 1163851381
file353990, 6316, 1297858148
file353991, 1865, 1005498121
file353992, 805, 924379131
file353993, 3037, 1049228439
file353994, 9273, 1509962937
file353995, 27390, 2639596815
file353996, 18151, 1943762131
file353997, 3209, 1061703322
file353998, 29183, 2888976788
file353999, 6048, 1240151617
file354000, 17577, 2006470126
file354001, 26878, 2588328264
file354002, 17060, 2003193529
file354003, 20235, 2144912105
file354004, 15327, 1872214894
file354005, 21431, 2231124016
file354006, 19787, 1736315305
file354007, 1722, 995189441
file354008, 19399, 2141022233
file354009, 1002, 920083142
file354010, 1897, 999264931
file354011, 24381, 2412661431
file354012, 3185, 1058894391
file354013, 3876, 1139204874
file354014, 911, 900742345
file354015, 12431, 1629183076
file354016, 2151, 855366635
file354017, 24, 675551910
file354018, 18739, 1915492934
file354019, 18954, 1757870018
file354020, 1369, 792949226
file354021, 2260, 879244695
file354022, 1432, 766342353
file354023, 25812, 2390810162
file354024, 1517, 792758964
file354025, 55424, 6597384169
file354026, 3480, 926584346
file354027, 17023, 2176901803
file354028, 4910, 1024360665
file354029, 15904, 1696041839
file354030, 37769, 2737774952
file354031, 2871, 902536149
file354032, 2987, 905368154
file354033, 26274, 2446637769
file354034, 1503, 822142739
file354035, 7811, 1221425125
file354036, 111792, 12285181939
file354037, 29849, 2623451727
file354038, 2947, 927687208
file354039, 11295, 1467882401
file354040, 21584, 2276175552
file354041, 3302, 928156185
file354042, 21106, 2046398137
file354043, 8666, 1382568611
file354044, 8786, 1261037701
file354045, 86121, 6041669952
file354046, 4183, 1036104875
file354047, 1377, 790887232
file354048, 22115, 2139700528
file354049, 132358, 11718151372
file354050, 1616, 811386062
file354051, 5542, 1052754071
file354052, 11780, 1485064827
file354053, 353, 708107845
file354054, 1645, 819769173
file354055, 1147, 782066438
file354056, 20080, 2009725653
file354057, 27167, 2463421351
file354058, 3810, 950561042
file354059, 1724, 818054706
file354060, 25318, 2331718089
file354061, 18516, 1924882148
file354062, 15238, 1791397211
file354063, 17111, 1853859058
file354064, 2569, 904780266
file354065, 104605, 8194907888
file354066, 8940, 1401888288
file354067, 5085, 1123796577
file354068, 2602, 877577712
file354069, 18390, 1930495399
file354070, 14847, 1628631790
file354071, 903186, 60020597951
file354072, 2104, 920224118
file354073, 312, 739929551
file354074, 5300, 1081870569
file354075, 38828, 3395206571
file354076, 6361, 1316922155
file354077, 2961, 1059264189
file354078, 17869, 2026831546
file354079, 226225, 16551125700
file354080, 27044, 2630880745
file354081, 6688, 1304811181
file354082, 5418, 1269079189
file354083, 4212, 1150630747
file354084, 870, 902530292
file354085, 87563, 6528932133
file354086, 16172, 1788747563
file354087, 17555, 2004764464
file354088, 17861, 2057468934
file354089, 11954, 1605437282
file354090, 12519, 1680178477
file354091, 22546, 2392830234
file354092, 20063, 2057320935
file354093, 5738, 1230789086
file354094, 25350, 2594281758
file354095, 5054, 1174611019
file354096, 16315, 1923566984
file354097, 26476, 2415283233
file354098, 105068, 7863144905
file354099, 13689, 1769612093
file354100, 19365, 2113167790
file354101, 14596, 1873947964
file354102, 9573, 1520058901
file354103, 33811, 2980381521
file354104, 14909, 1830621693
file354105, 17114, 2006347695
file354106, 890, 917417741
file354107, 410, 890695868
file354108, 7433, 1319347811
file354109, 4350, 1210471694
file354110, 5304, 1335224913
file354111, 16596, 1935411119
file354112, 631, 897143224
