file1,2129,740813483
file2,3543,1144177290
file3,6671,2359920852
file4,2342,934833518
file5,3393,887740514
file6,3625,1072017754
file7,746,856174080
file8,1730,895966879
file9,18974,2643053793
file10,926,903240277
file11,604,717455094
file12,56,710898928
file13,761,843541398
file14,20579,2560243093
file15,527,765990139
file16,7783,1133338432
file17,881,779271806
file18,2748,1048988509
file19,11326,1868964324
file20,209,732085384
file21,1927,734366061
file22,161,739671939
file23,1129,724263033
file24,2715,1034461133
file25,2150,833269099
file26,2370,1071786577
file27,1779,887269584
file28,10327,2082784447
file29,2129,735623855
file30,703,741719993
file31,1732,905553145
file32,2116,1093754629
file33,1654,1008044057
file34,1345,867056087
file35,190,703943681
file36,6256,1343975767
file37,56812,3554303596
file38,9826,1621466680
file39,1877,876446449
file40,5853,814527433
file41,10276,1423234541
file42,130949,17309640457
file43,23888,3793197601
file44,3105,770370394
file45,2775,919473880
file46,610,820726340
file47,822,810668176
file48,1067,867983110
file49,284,699428941
file50,3016,789308650
file51,3307,1005626607
file52,151,720804083
file53,8097,1409699951
file54,2790,755416485
file55,834,717285932
file56,429,758344265
file57,2039,887190316
file58,10458,1258344684
file59,10003,1943702468
file60,261,746697506
file61,2236,879066565
file62,18027,3194561518
file63,932,854015207
file64,2825,971814467
file65,593,729260477
file66,533,772702582
file67,639,702605575
file68,1637,709918819
file69,243,739223821
file70,170,663104900
file71,481,760739833
file72,321,752388870
file73,4303,1126053271
file74,1135,781443094
file75,854,769844181
file76,37662,4318748726
file77,12635,1766257381
file78,3175,718914678
file79,21412,2041616683
file80,950,767793704
file81,197,773913573
file82,656,859609086
file83,4301,757960614
file84,2140,920209946
file85,951,724655698
file86,4807,1156490072
file87,529,760314263
file88,270,757500866
file89,403,751346561
file90,8497,1589742795
file91,10796,1670170641
file92,8065,2009819732
file93,170,726335099
file94,6998,1260340514
file95,797,848055044
file96,254,726812718
file97,2575,962586980
file98,2102,1002134665
file99,1252,839162546
file100,513,701773143
file101,6512,1280403101
file102,1018,799158776
file103,8307,1262502099
file104,81,696970185
file105,567971,66574081948
file106,3539,766506620
file107,905,710675343
file108,4751,863793821
file109,9901,1773955937
file110,1685,926756229
file111,1720,827318958
file112,4878,965749276
file113,6235,779452735
file114,87,705935542
file115,1182,753266302
file116,1607,765524416
file117,3064,922748939
file118,5847,949595229
file119,3919,1062912491
file120,479,779469816
file121,1405,859648562
file122,5850,1123927871
file123,6654,1551740020
file124,3050,874033823
file125,15717,3127981738
file126,623,737410062
file127,17284,2488575756
file128,1299,714240669
file129,94,701994677
file130,111,704419697
file131,589,756541493
file132,262144,716632128
file133,798,724466361
file134,2137,748890320
file135,6377,1131549511
file136,2225,729610066
file137,3310,749191503
file138,3065,952729209
file139,735,810346405
file140,7687,1181293613
file141,731,708134573
file142,1635,844413431
file143,2107,723145272
file144,2781,740481502
file145,1422,685699557
file146,3915,1058364288
file147,543,786310022
file148,1631,689860795
file149,4801,1434263753
file150,1042,806312575
file151,12426,1779139837
file152,1222,683696554
file153,1750,945783010
file154,3547,774821151
file155,787,673282087
file156,2107,698321993
file157,9010,1693813254
file158,64,668293648
file159,2357,894022902
file160,1916,810744017
file161,4132,1258787769
file162,1325,864257055
file163,4028,1018567903
file164,90682,8969473846
file165,7041,1082994294
file166,8126,4575954060
file167,10778,1978194154
file168,256,828711271
file169,1333,852414517
file170,1114,812572730
file171,1676,782997371
file172,2478,779918325
file173,1455,847552121
file174,325,848948086
file175,2892,792626906
file176,869,879993379
file177,797,843683101
file178,1267,918897155
file179,573,898174074
file180,177,809215258
file181,573,832482288
file182,579,744318263
file183,4252,808261214
file184,449,872225962
file185,2979,985782547
file186,7396,852579195
file187,737,747824786
file188,5826,855974857
file189,579,817131652
file190,2102,940812084
file191,3746,800836518
file192,167,746653536
file193,254,816085149
file194,4157,1193116858
file195,2384,1170592504
file196,2928,998183430
file197,1033,770095255
file198,2196,855987741
file199,78068,6867068511
file200,7709,1965554369
file201,4955,1538877332
file202,1079,825833052
file203,55,772395974
file204,5690,1642488788
file205,2056,883670058
file206,280,750812087
file207,6375,1398021503
file208,17292,2491046042
file209,3412,972382511
file210,174,773833050
file211,810,836551263
file212,18185,2362769963
file213,3861,818199068
file214,903,880841935
file215,9909,1876713705
file216,4675,1068270534
file217,1808,1192430300
file218,476,885177555
file219,17566,3191387840
file220,2887,1056459451
file221,4961,1132478852
file222,3050,1157664431
file223,356,747911626
file224,5944,1252997032
file225,7279,1157133235
file226,816,759298400
file227,1975,913127898
file228,912,701464806
file229,7477,847850187
file230,44449,4031405449
file231,2773,887003699
file232,53,670342401
file233,375,717152668
file234,3727,1275382240
file235,4401,742749338
file236,7763,1601545567
file237,364,742529252
file238,4407,710559018
file239,8306,796336181
file240,11971,2537331455
file241,8240,1343022125
file242,15055,2329083888
file243,15834,2103053783
file244,4390,797969183
file245,3678,1196230459
file246,1952,808968388
file247,3765,838921147
file248,2813,1014011339
file249,19725,987910761
file250,4031,781038047
file251,423,830524129
file252,1177,742547360
file253,6592,1951733722
file254,4656,890635224
file255,1327,958906833
file256,705,831905697
file257,326,732951311
file258,0,717705023
file259,11736,2337286651
file260,3960,1198688544
file261,695,820771891
file262,259,790418420
file263,35457,3785691239
file264,1622,796193802
file265,4468,1177925398
file266,12862,906999534
file267,1339,810389926
file268,1876,833685422
file269,105,741920496
file270,7069,1219196722
file271,3730,771775197
file272,13816,2486597853
file273,1690,808608199
file274,16063,1723929279
file275,495,809698494
file276,908,743843856
file277,3644,985703029
file278,1844,863357584
file279,6842,1614175744
file280,1137,799458872
file281,1425,946129880
file282,1394,981351201
file283,2080,1030789816
file284,407,774705974
file285,2189,1073551309
file286,39227,3834220286
file287,30593,3138247509
file288,6393,1041324440
file289,726,816860124
file290,4580,1072548170
file291,337,767732916
file292,2765,985682546
file293,17242,2956823218
file294,4911,974913198
file295,3359,980496452
file296,10090,1543747047
file297,697,768562346
file298,546,754571868
file299,7928,1779484298
file300,391,796421054
file301,12012,1536205338
file302,1464,897215640
file303,2424,765414659
file304,1754,946024843
file305,5191,753380909
file306,567,712624149
file307,6062,1632500779
file308,4652,1163461263
file309,14181,1791319275
file310,1958,777718256
file311,4516,922714414
file312,2069,757774228
file313,10614,1391750057
file314,4091,1144811670
file315,12449,2109258774
file316,1056,816385042
file317,350,755035027
file318,1010,756996420
file319,1350,649088306
file320,7791,1496727966
file321,11057,921982365
file322,757,865760963
file323,265,821294564
file324,1189,862078194
file325,10835,1289861161
file326,378,739049313
file327,1040,857674048
file328,48950,782839266
file329,5497,1407752650
file330,6784,1156140586
file331,664,867484739
file332,269,778114896
file333,510,758273029
file334,25589,1123185983
file335,74,767671089
file336,956,806034968
file337,1306,756629157
file338,544,783138413
file339,1651,971464052
file340,4430,808206920
file341,582,834400755
file342,13965,2204594872
file343,4779,806634920
file344,240,731725431
file345,1209,772776084
file346,463,805713350
file347,12250,1371676017
file348,2211,1048492619
file349,361,798970131
file350,1112,828763688
file351,3448,774296539
file352,331,740083275
file353,2370,1057653221
file354,53,712202050
file355,2105,740582445
file356,3111,952931355
file357,11281,1595207831
file358,23438,3064925536
file359,948,804068362
file360,164,705159181
file361,2411,1053386772
file362,15011,1672838405
file363,9551,1750628653
file364,363,722862353
file365,2162,919602138
file366,1203,816446552
file367,1427,798425293
file368,1450,864418652
file369,896855,729790691552
file370,371,768031960
file371,634,771565525
file372,1806,905785909
file373,5980,1273952661
file374,680,731125337
file375,21600,2572295361
file376,472,804550122
file377,505,787939596
file378,1754,719548706
file379,4665,1184136352
file380,21714,3237990878
file381,33931,3533342414
file382,4002,970363037
file383,12761,2124371893
file384,1961,743030469
file385,1341,867854325
file386,7381,1231258649
file387,560,789314460
file388,930,748203736
file389,441,668781659
file390,1840,834456366
file391,26003,3714841888
file392,1024,734906696
file393,3416,743381292
file394,731,677644576
file395,16657,3045603989
file396,280,748126072
file397,2569,906724103
file398,146,690156589
file399,1505,696569739
file400,13770,2230759593
file401,6050,1406266883
file402,844,781409100
file403,243,852907185
file404,275,800363913
file405,1371,963208987
file406,2628,1052949179
file407,23525,3846850536
file408,247,829957055
file409,2978,965739927
file410,1955,812231157
file411,1547,873572569
file412,7180,1734231112
file413,231,842333387
file414,11383,2341726283
file415,19005,1857097135
file416,6456,1645674412
file417,1368,966505247
file418,18558,1886624830
file419,1342,872616393
file420,2058,987835414
file421,260,790324437
file422,5004,1292306939
file423,2568,1040255065
file424,15478,1481683031
file425,155,787292495
file426,12641,2364566924
file427,1303,781281199
file428,7174,1677274804
file429,3272,1450995193
file430,423,856797960
file431,1684,829172571
file432,683,811582381
file433,760,843260785
file434,26404,3068717388
file435,1311,841443766
file436,33630,4509925309
file437,5481,833951308
file438,17636,1771509091
file439,2684,1029189655
file440,4848,1168627398
file441,346,840456122
file442,5799,850623485
file443,6519,1026186152
file444,14804,2398461429
file445,689,838020406
file446,3348,937511714
file447,3151,1162366314
file448,3837,900045602
file449,8011,1728377171
file450,174,784671206
file451,67,767147331
file452,1222,782353488
file453,3322,1320497807
file454,58,768851675
file455,3705,1003340842
file456,190,802996697
file457,24700,3882758826
file458,1183,820134067
file459,1452,854635486
file460,3932,1230615252
file461,812,749170160
file462,13534,930881585
file463,1058,953236626
file464,3362,1008816095
file465,9794,1188011546
file466,562,736754164
file467,3774,725225630
file468,1023,744082755
file469,2289,708611300
file470,4179,980561565
file471,8648,789198358
file472,8007,1605566025
file473,402,746535331
file474,322,710105273
file475,4399,1131228805
file476,4628,1203306794
file477,24867,2124321733
file478,136,719275048
file479,5333,1157127202
file480,1729,743132702
file481,7444,1383612584
file482,1717,885666023
file483,528,734128800
file484,2907,1064731508
file485,5093,1275751725
file486,620,845564363
file487,7827,2121972614
file488,2641,897650543
file489,372,740173220
